Date,eq_buyhold,eq_strat,signal,y,pred_ret
2021-03-22,0.9438983408307242,1.0,0,-0.056101659169275786,-0.0031444460366670565
2021-03-23,0.9937665229623562,1.0,0,0.052832153606439336,-0.004849613912181575
2021-03-24,0.9563653863636322,1.0,0,-0.03763573810801513,-0.005246619327897549
2021-03-25,0.9956844807210079,1.0,0,0.041113046245721874,-0.006556590898448402
2021-03-26,1.0050347420062837,1.0,0,0.009390787409385926,-0.004882155197228947
2021-03-29,0.9870534421630238,1.0,0,-0.01789122215552974,-0.003966857458378622
2021-03-30,0.9717094142633279,1.0,0,-0.015545285841940926,-0.004284595362098765
2021-03-31,1.0031167842476318,1.0,0,0.03232177184175433,-0.0019452549887451023
2021-04-01,0.9657156476489078,1.0,0,-0.0372849275239433,-0.0013240949857266544
2021-04-05,0.9757852231190961,1.0,0,0.010427060485872053,-0.000777984120619634
2021-04-06,0.9796212300940201,1.0,0,0.003931200108423738,-0.000567779498145352
2021-04-07,0.978662205485884,1.0,0,-0.0009789749126242198,-0.0006733819190095133
2021-04-08,0.974346686206892,0.9945903893551816,1,-0.004409610644818374,0.00015128253214228253
2021-04-09,0.9805802547021563,1.0009534707968735,1,0.006397690456085403,0.0008260234173666848
2021-04-12,0.9925677879309961,1.0131900653378727,1,0.012224938419223008,0.0010076092185573402
2021-04-13,1.0318868822883718,1.0533260804951015,1,0.039613510367222604,0.0017428634247019853
2021-04-14,1.0374011365987237,1.0589549027810243,1,0.005343855421558574,0.0018363013288007642
2021-04-15,1.0352433769592277,1.056752312029332,1,-0.0020799665272881462,0.0018443383339512586
2021-04-16,1.0385998716300837,1.0601785435635627,1,0.003242227620634308,0.001869438125936668
2021-04-19,1.024694380642592,1.0459841424420633,1,-0.013388689299245748,0.0032348765481046084
2021-04-20,1.001438536912204,1.022245119158026,1,-0.022695395007245156,0.002887394226859436
2021-04-21,1.0091105508620521,1.030076532195641,1,0.007660993328161281,0.00220697453278029
2021-04-22,1.0179812998432598,1.0391315860157944,1,0.008790661215096529,0.0011960956069951428
2021-04-23,1.014864607053248,1.0359501386527559,1,-0.003061640513918662,0.00014606321486997678
2021-04-26,1.0335651296237998,1.034914188514103,0,0.018426618132689088,-0.0009989285498683484
2021-04-27,1.0436346136363674,1.034914188514103,0,0.009742476525144372,-0.0017532810165739278
2021-04-28,1.0611364011755593,1.034914188514103,0,0.016770033602287127,-0.000777418657131623
2021-04-29,1.0374011365987237,1.034914188514103,0,-0.022367779062654858,-5.333572400263096e-05
2021-04-30,1.0544234118338474,1.034914188514103,0,0.016408575848426254,-0.0002352310417021417
2021-05-03,1.0757612063479634,1.034914188514103,0,0.0202364574559335,-0.00017081254336835932
2021-05-04,1.0707264643416794,1.0290357031807436,1,-0.0046801669149011405,0.0006915775935639266
2021-05-05,1.0647326977272595,1.0232753152122225,1,-0.005597850444562513,0.0010610177553010967
2021-05-06,1.0652122100313277,1.0237361567972896,1,0.0004503593297093822,0.0008059285027260806
